NAME,geometry
Athens,POINT (475807.49976592464 4202811.999283533)
Mesologgi,POINT (275261.0928286533 4249611.999552619)
Halkida,POINT (465093.3126828787 4257236.000793643)
Karpenisi,POINT (308647.31276499387 4309619.000847071)
Lamia,POINT (363667.81228692946 4307010.9997647535)
Amfissa,POINT (358454.1868482244 4265458.000808805)
Tripoli,POINT (356061.5005292003 4152383.0000632987)
Patra,POINT (301757.2818544649 4235573.999658011)
Pyrgos,POINT (274312.18759586406 4172272.99945115)
Korinthos,POINT (405799.59278674563 4199310.000526762)
Sparti,POINT (360538.500761895 4103975.0004385607)
Kalamata,POINT (332032.5938047173 4100830.0004466465)
Zakynthos,POINT (226643.20235752524 4186559.0008367505)
Kerkyra,POINT (149581.40530196764 4393178.999077906)
Argostoli,POINT (192015.90595848486 4231131.000098443)
Leykada,POINT (214052.29643525253 4303175.999909916)
Arta,POINT (239427.70246655913 4338656.999656991)
Prebeza,POINT (218530.20376771246 4317143.999517597)
Karditsa,POINT (320739.5006332132 4359256.000260744)
Larissa,POINT (364335.18654929847 4388498.999466146)
Bolos,POINT (408032.50085099274 4357424.499410735)
Trikala,POINT (308754.49999081274 4380495.00022594)
Grebena,POINT (280424.5932212863 4439924.000455956)
Drama,POINT (512647.5010209372 4555184.999545808)
Beroia,POINT (347527.8131468424 4487219.999555542)
Thessaloniki,POINT (411064.40605202597 4498811.999743544)
Kabala,POINT (534851.8751652334 4531767.999074702)
Kastoria,POINT (268442.09384940565 4488689.000921294)
Kilkis,POINT (405354.40607330645 4538388.999140181)
Kozani,POINT (311931.8130766561 4463304.99923752)
Edessa,POINT (335019.40556112304 4518064.999218835)
Katerini,POINT (372633.281233334 4458724.500374619)
Serres,POINT (462039.31327154255 4548586.000282189)
Florina,POINT (280914.81318280124 4517304.00063652)
Polygyros,POINT (452331.0936010326 4469467.999026971)
Aleksandroypoli,POINT (657687.375248732 4523329.999301)
Ksanthi,POINT (574065.3745694053 4553938.999420309)
Komotini,POINT (617869.0001333007 4552621.000067211)
Rodos,POINT (878802.9377544574 4041133.001015936)
Ermoypoli,POINT (583013.3117889948 4144081.0009063603)
Mytilini,POINT (720826.8120616903 4331572.000417722)
Samos,POINT (761944.6252347929 4182957.999509481)
Xios,POINT (686585.8114666096 4248063.999553299)
Hrakleio,POINT (602659.6874281983 3910900.9990671137)
Agios Nikolaos,POINT (656096.3741539 3895170.0002097813)
Rethimno,POINT (542964.8114827508 3913675.9999146974)
Hania,POINT (501576.5933226198 3930003.999113702)
Ioannina,POINT (230271.59311592462 4395426.999870744)
Hgoymenitsa,POINT (178946.70314346626 4379071.000972116)
Leivadia,POINT (401901.90548817045 4254385.000761373)
Nayplion,POINT (394661.9063549021 4158283.999549817)
